"","siteID","xcoord","ycoord","mdcaty","wgt","stratum","panel","EvalStatus","EvalReason","gnis_name","reachcode","c3_zone","length_km","resource","streamcode","comment202","shape_leng","basin_name"
"67","FLSS21001-067",286779.528562295,704234.921440236,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03130012010494","Zone 1",0.737080893681,"Stream","1587-03130012010494","",737.080893681,"Zone 1"
"68","FLSS21001-068",150758.778563182,745182.541919837,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Gopher Creek","03140103000737","Zone 1",2.22026545038,"Stream","5358-03140103000737","",2220.26545038,"Zone 1"
"69","FLSS21001-069",199584.97202891,770648.44118506,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140202002372","Zone 1",1.24744128848,"Stream","2923-03140202002372","",1247.44128848,"Zone 1"
"70","FLSS21001-070",350278.732368312,723443.811291618,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Little River","03120003002835","Zone 1",2.02863876051,"Stream","5978-03120003002835","",2028.63876051,"Zone 1"
"71","FLSS21001-071",310560.298683074,714658.13781215,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03120003000511","Zone 1",1.85171515565,"Stream","362-03120003000511","",1851.71515565,"Zone 1"
"72","FLSS21001-072",83686.4485364095,768587.271492525,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140305000425","Zone 1",1.9081831845,"Stream","107964-03140305000425","",1908.1831845,"Zone 1"
"73","FLSS21001-073",192396.948422573,734377.412915374,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Alaqua Creek","03140102000062","Zone 1",2.09599299816,"Stream","3767-03140102000062","",2095.99299816,"Zone 1"
"74","FLSS21001-074",182891.327822922,743975.565754561,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Bear Bay Branch","03140102000411","Zone 1",2.77957287978,"Stream","3970-03140102000411","",2779.57287978,"Zone 1"
"75","FLSS21001-075",193979.494559004,738178.812667077,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Blount Creek","03140102000376","Zone 1",1.19388256243,"Stream","4251-03140102000376","",1193.88256243,"Zone 1"
"76","FLSS21001-076",353753.557586759,692663.097085307,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Lost Creek","03120001000406","Zone 1",9.30090717664,"Stream","6061-03120001000406","",9300.90717664,"Zone 1"
"77","FLSS21001-077",295598.830005204,687262.331441864,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03130011002407","Zone 1",0.0876460335246,"Stream","1068-03130011002407","",87.6460335246,"Zone 1"
"78","FLSS21001-078",173287.167399745,727454.161065172,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Hickory Branch","03140102000301","Zone 1",4.57601737528,"Stream","5497-03140102000301","",4576.01737528,"Zone 1"
"79","FLSS21001-079",207879.643988559,699330.795515597,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140101000308","Zone 1",0.661961935702,"Stream","98768-03140101000308","",661.961935702,"Zone 1"
"80","FLSS21001-080",300175.55725774,735437.351620258,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Carpenter Sink Creek","03130011000592","Zone 1",0.635033910893,"Stream","4593-03130011000592","",635.033910893,"Zone 1"
"81","FLSS21001-081",123575.866542046,770323.730946312,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140104000595","Zone 1",2.70074217867,"Stream","2550-03140104000595","",2700.74217867,"Zone 1"
"82","FLSS21001-082",70691.1940038803,779484.256994608,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140305000379","Zone 1",2.215163324,"Stream","3629-03140305000379","",2215.163324,"Zone 1"
"83","FLSS21001-083",229042.130156942,766002.130627179,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Gully Branch","03140203001086","Zone 1",4.88049052704,"Stream","5393-03140203001086","",4880.49052704,"Zone 1"
"84","FLSS21001-084",307925.848497175,699315.164645358,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Sand Branch","03130011000405","Zone 1",2.41924563851,"Stream","8378-03130011000405","",2419.24563851,"Zone 1"
"85","FLSS21001-085",253053.45238844,712277.839498851,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Dave Branch","03140101000398","Zone 1",2.94567581464,"Stream","4910-03140101000398","Hurricane Michael",2945.67581464,"Zone 1"
"86","FLSS21001-086",184436.386132894,775450.388657389,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Natural Bridge Creek","03140202000828","Zone 1",0.547738318516,"Stream","6361-03140202000828","",547.738318516,"Zone 1"
"87","FLSS21001-087",268142.225333498,766813.876648121,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Spring Branch","03130012001798","Zone 1",4.59964977229,"Stream","7284-03130012001798","",4599.64977229,"Zone 1"
"88","FLSS21001-088",302624.555993584,667874.913947977,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03130011000880","Zone 1",2.12965195693,"Stream","991-03130011000880","",2129.65195693,"Zone 1"
"89","FLSS21001-089",90043.1319524523,739152.322407869,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","White River","03140305000839","Zone 1",4.191191383,"Stream","7773-03140305000839","",4191.191383,"Zone 1"
"90","FLSS21001-090",183107.902126821,731203.375322466,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Bear Branch","03140102000187","Zone 1",2.21545476433,"Stream","3980-03140102000187","",2215.45476433,"Zone 1"
"91","FLSS21001-091",214741.423782678,715420.283898307,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140203011183","Zone 1",4.93297465507,"Stream","3568-03140203011183","",4932.97465507,"Zone 1"
"92","FLSS21001-092",126915.31278286,772107.511302488,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140104000741","Zone 1",2.00116890022,"Stream","2629-03140104000741","",2001.16890022,"Zone 1"
"93","FLSS21001-093",282397.883176505,720594.415195994,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Mayo Mill Branch","03130012010019","Zone 1",1.0273963452,"Stream","6118-03130012010019","",1027.3963452,"Zone 1"
"94","FLSS21001-094",143507.535553487,774748.643218296,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Mare Creek","03140104000287","Zone 1",1.84025048344,"Stream","6094-03140104000287","",1840.25048344,"Zone 1"
"95","FLSS21001-095",297772.234757351,655140.723578826,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Howard Creek","03130011001143","Zone 1",2.01055097784,"Stream","5616-03130011001143","",2010.55097784,"Zone 1"
"96","FLSS21001-096",184627.779816032,768424.631142438,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140103000833","Zone 1",1.7205545883,"Stream","2123-03140103000833","",1720.5545883,"Zone 1"
"97","FLSS21001-097",256475.226394481,763104.360995342,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Minnow Creek","03140203000361","Zone 1",5.55740265266,"Stream","6250-03140203000361","",5557.40265266,"Zone 1"
"98","FLSS21001-098",111689.703436182,756021.051165443,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140104000729","Zone 1",2.79068845199,"Stream","2625-03140104000729","",2790.68845199,"Zone 1"
"99","FLSS21001-099",320162.319143654,730164.685708589,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Billy Branch","03130011000132","Zone 1",5.37893943954,"Stream","4154-03130011000132","",5378.93943954,"Zone 1"
"100","FLSS21001-100",81640.4900667389,725460.062448161,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Eightmile Creek","03140107000045","Zone 1",1.66167978103,"Stream","5163-03140107000045","",1661.67978103,"Zone 1"
"101","FLSS21001-101",410141.209437196,731057.451207728,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03120001000318","Zone 1",1.90134747188,"Stream","83-03120001000318","",1901.34747188,"Zone 1"
"102","FLSS21001-102",322023.171872519,691771.291173275,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Bay Creek","03130013000055","Zone 1",16.7848847395,"Stream","3951-03130013000055","",16784.8847395,"Zone 1"
"103","FLSS21001-103",224664.360304047,756319.412931276,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140203000855","Zone 1",0.74187067093,"Stream","3075-03140203000855","",741.87067093,"Zone 1"
"104","FLSS21001-104",272912.297074409,694301.773212046,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03130012003627","Zone 1",0.602426801882,"Stream","1378-03130012003627","",602.426801882,"Zone 1"
"105","FLSS21001-105",339890.615894583,742218.203562283,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03130011000692","Zone 1",2.56420040851,"Stream","926-03130011000692","",2564.20040851,"Zone 1"
"106","FLSS21001-106",157313.589420508,751279.196401586,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140103000680","Zone 1",2.1731885859,"Stream","2044-03140103000680","",2173.1885859,"Zone 1"
"107","FLSS21001-107",313585.686055618,679984.027206045,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","New River","03130013000042","Zone 1",2.59877188933,"Stream","6382-03130013000042","",2598.77188933,"Zone 1"
"108","FLSS21001-108",132420.47482855,720246.491446465,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140105000347","Zone 1",2.52313712217,"Stream","2696-03140105000347","",2523.13712217,"Zone 1"
"109","FLSS21001-109",282719.582504605,746689.010723176,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03130012010275","Zone 1",1.00627548273,"Stream","1533-03130012010275","",1006.27548273,"Zone 1"
"110","FLSS21001-110",108581.294907927,766387.142086384,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140104000646","Zone 1",2.04542630997,"Stream","2575-03140104000646","",2045.42630997,"Zone 1"
"111","FLSS21001-111",394872.392031443,724565.634538604,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03120001000356","Zone 1",1.80339227701,"Stream","106770-03120001000356","",1803.39227701,"Zone 1"
"112","FLSS21001-112",203138.638225237,721452.018581052,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Walker Branch","03140203001602","Zone 1",2.51172411772,"Stream","7654-03140203001602","",2511.72411772,"Zone 1"
"113","FLSS21001-113",330264.406931331,705934.590000041,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Blue Creek","03120003000252","Zone 1",0.668005467327,"Stream","4259-03120003000252","",668.005467327,"Zone 1"
"114","FLSS21001-114",184576.538339962,738578.868932965,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Burntout Creek","03140102000426","Zone 1",3.55703076573,"Stream","4501-03140102000426","",3557.03076573,"Zone 1"
"115","FLSS21001-115",258783.120491576,735565.851550844,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Poley Creek","03140203001492","Zone 1",3.16291166469,"Stream","6767-03140203001492","",3162.91166469,"Zone 1"
"116","FLSS21001-116",154586.830927113,745305.80888438,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Pearl Creek","03140103000586","Zone 1",7.04175077747,"Stream","6591-03140103000586","",7041.75077747,"Zone 1"
"117","FLSS21001-117",261872.059783686,753865.61138335,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140203002496","Zone 1",0.682375855486,"Stream","3383-03140203002496","",682.375855486,"Zone 1"
"118","FLSS21001-118",272831.163027511,663883.605402913,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","","03140101000949","Zone 1",5.18480352168,"Stream","1798-03140101000949","",5184.80352168,"Zone 1"
"119","FLSS21001-119",304932.391786323,733267.336883209,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Jenkins Creek","03130011000586","Zone 1",2.81116049657,"Stream","5717-03130011000586","",2811.16049657,"Zone 1"
"120","FLSS21001-120",55631.2594641988,773765.432122076,"Equal",821947.177464965,"Zone 1","OverSamp","NotEval"," ","Perdido River","03140106000075","Zone 1",3.81320696055,"Stream","6635-03140106000075","",3813.20696055,"Zone 1"
