"","Type","Subpopulation","Indicator","Statistic","NResp","Estimate","StdError","LCB95Pct","UCB95Pct"
"205","Basin","ZONE 6","Escherichia_Coli_Quanti_Tray","75Pct",3,1552.925,"",213.322678788962,2419.6
"206","Basin","ZONE 6","Escherichia_Coli_Quanti_Tray","90Pct",4,2076.25,"",605.442678596794,2419.6
"207","Basin","ZONE 6","Escherichia_Coli_Quanti_Tray","95Pct",4,2247.925,"",1029.39916385259,2419.6
"208","Basin","ZONE 6","Escherichia_Coli_Quanti_Tray","Mean",5,1027.3,"373.902716524301",294.46414189068,1760.13585810932
"209","Basin","ZONE 6","Escherichia_Coli_Quanti_Tray","Variance",5,805665.468,"268779.619360862",278867.094274326,1332463.84172567
"210","Basin","ZONE 6","Escherichia_Coli_Quanti_Tray","Std. Deviation",5,897.588696452891,"149.723152944679",604.136709029539,1191.04068387624
"211","Combined","All Basins","Chlorophyll_A_Monochromatic","5Pct",3,0.82,"",0.82,0.889373283761506
"212","Combined","All Basins","Chlorophyll_A_Monochromatic","10Pct",3,0.82,"",0.82,1.4210357094423
"213","Combined","All Basins","Chlorophyll_A_Monochromatic","25Pct",6,1.53336218727103,"",1.31033376957467,1.57546976673337
"214","Combined","All Basins","Chlorophyll_A_Monochromatic","50Pct",17,2.10822156332807,"",1.57758840427642,3.52806913001456
"215","Combined","All Basins","Chlorophyll_A_Monochromatic","75Pct",25,5.02161968237104,"",2.83631712882487,11.9035631739968
"216","Combined","All Basins","Chlorophyll_A_Monochromatic","90Pct",34,11.8726952832495,"",5.29179494194007,50
"217","Combined","All Basins","Chlorophyll_A_Monochromatic","95Pct",36,31.1819300195046,"",9.65206249279014,50
"218","Combined","All Basins","Chlorophyll_A_Monochromatic","Mean",38,6.80563271891925,"2.14817355306097",2.5952899223783,11.0159755154602
"219","Combined","All Basins","Chlorophyll_A_Monochromatic","Variance",38,123.776464339612,"67.19965285167",0,255.485363702479
"220","Combined","All Basins","Chlorophyll_A_Monochromatic","Std. Deviation",38,9.81389819785956,"2.46589803040275",4.98082686872192,14.6469695269972
"221","Basin","ZONE 1","Chlorophyll_A_Monochromatic","5Pct",3,0.82,"",0.82,0.82
"222","Basin","ZONE 1","Chlorophyll_A_Monochromatic","10Pct",3,0.82,"",0.82,0.82
"223","Basin","ZONE 1","Chlorophyll_A_Monochromatic","25Pct",3,0.82,"",0.82,1.58136894838425
"224","Basin","ZONE 1","Chlorophyll_A_Monochromatic","50Pct",5,1.95,"",0.82,3.06422765453911
"225","Basin","ZONE 1","Chlorophyll_A_Monochromatic","75Pct",8,2.975,"",1.95414080962275,49.4616947490427
"226","Basin","ZONE 1","Chlorophyll_A_Monochromatic","90Pct",9,5,"",2.68876537007484,50
"227","Basin","ZONE 1","Chlorophyll_A_Monochromatic","95Pct",10,42.85,"",3.2810566822268,50
"228","Basin","ZONE 1","Chlorophyll_A_Monochromatic","Mean",11,6.50545454545455,"3.91448354880592",-1.16679222827959,14.1777013191887
"229","Basin","ZONE 1","Chlorophyll_A_Monochromatic","Variance",11,190.723352066116,"153.274416057916",0,491.135687291038
"230","Basin","ZONE 1","Chlorophyll_A_Monochromatic","Std. Deviation",11,13.8102625632576,"5.54929406142154",2.93384606324942,24.6866790632659
"231","Basin","ZONE 2","Chlorophyll_A_Monochromatic","5Pct",0,0.86,"",0.86,0.86
"232","Basin","ZONE 2","Chlorophyll_A_Monochromatic","10Pct",0,0.9,"",0.9,0.9
"233","Basin","ZONE 2","Chlorophyll_A_Monochromatic","25Pct",1,1.35,"",0.82,1.54775958985818
"234","Basin","ZONE 2","Chlorophyll_A_Monochromatic","50Pct",2,1.525,"",0.877010855730264,3.92184107584293
"235","Basin","ZONE 2","Chlorophyll_A_Monochromatic","75Pct",2,1.5875,"",1.42126356966283,4.1
"236","Basin","ZONE 2","Chlorophyll_A_Monochromatic","90Pct",4,3.85,"",1.5436664964714,4.1
"237","Basin","ZONE 2","Chlorophyll_A_Monochromatic","95Pct",4,3.975,"",1.5561664964714,4.1
"238","Basin","ZONE 2","Chlorophyll_A_Monochromatic","Mean",5,1.956,"0.467132902110817",1.04043633586912,2.87156366413087
"239","Basin","ZONE 2","Chlorophyll_A_Monochromatic","Variance",5,1.202144,"0.701038250705349",0,2.57615372316744
"240","Basin","ZONE 2","Chlorophyll_A_Monochromatic","Std. Deviation",5,1.09642327592951,"0.319693254464628",0.46983601107844,1.72301054078058
"241","Basin","ZONE 3","Chlorophyll_A_Monochromatic","5Pct",0,1.092,"",1.092,1.092
"242","Basin","ZONE 3","Chlorophyll_A_Monochromatic","10Pct",0,1.204,"",1.204,1.204
"243","Basin","ZONE 3","Chlorophyll_A_Monochromatic","25Pct",1,1.5375,"",1.01465584619626,1.63917004806367
